rosbagTimestamp,channels
1653900470279863561,"[1500, 1500, 1500, 1500, 1504, 1500, 1500, 1500]"
1653900470289204196,"[1500, 1500, 1500, 1500, 1501, 1500, 1500, 1500]"
1653900470299974834,"[1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1653900470309365584,"[1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1653900470318755379,"[1500, 1500, 1500, 1500, 1500, 1500, 1500, 1500]"
1653900471329140645,"[1500, 1500, 1500, 1501, 1500, 1500, 1500, 1500]"
1653900471338987236,"[1500, 1500, 1500, 1502, 1500, 1500, 1500, 1500]"
1653900471349411964,"[1500, 1500, 1500, 1504, 1500, 1500, 1500, 1500]"
1653900471358900559,"[1500, 1500, 1500, 1509, 1500, 1500, 1500, 1500]"
1653900471368778489,"[1500, 1500, 1500, 1511, 1500, 1500, 1500, 1500]"
1653900471379313824,"[1500, 1500, 1500, 1513, 1500, 1500, 1500, 1500]"
1653900471388943218,"[1500, 1500, 1500, 1517, 1500, 1500, 1500, 1500]"
1653900471398832312,"[1500, 1500, 1500, 1518, 1500, 1500, 1500, 1500]"
1653900471408964677,"[1500, 1500, 1500, 1520, 1500, 1500, 1500, 1500]"
1653900471419041727,"[1500, 1500, 1500, 1524, 1500, 1500, 1500, 1500]"
1653900471429815006,"[1500, 1500, 1500, 1526, 1500, 1500, 1500, 1500]"
1653900471439202199,"[1500, 1500, 1500, 1529, 1500, 1500, 1500, 1500]"
1653900471448783429,"[1500, 1500, 1500, 1537, 1500, 1500, 1500, 1500]"
1653900471459165054,"[1500, 1500, 1500, 1542, 1500, 1500, 1500, 1500]"
1653900471469297311,"[1500, 1500, 1500, 1548, 1500, 1500, 1500, 1500]"
1653900471479219890,"[1500, 1500, 1500, 1554, 1500, 1500, 1500, 1500]"
1653900471488982645,"[1500, 1500, 1500, 1566, 1500, 1500, 1500, 1500]"
1653900471499043106,"[1500, 1500, 1500, 1571, 1500, 1500, 1500, 1500]"
1653900471509587582,"[1500, 1500, 1500, 1577, 1500, 1500, 1500, 1500]"
1653900471518873767,"[1500, 1500, 1500, 1580, 1500, 1500, 1500, 1500]"
1653900471528803732,"[1500, 1500, 1500, 1580, 1500, 1500, 1500, 1500]"
1653900471539512920,"[1500, 1500, 1501, 1580, 1500, 1500, 1500, 1500]"
1653900471629384470,"[1500, 1500, 1501, 1580, 1500, 1500, 1500, 1500]"
1653900471669706126,"[1500, 1500, 1501, 1564, 1500, 1500, 1500, 1500]"
1653900471679088383,"[1500, 1500, 1501, 1554, 1500, 1500, 1500, 1500]"
1653900471689319051,"[1500, 1500, 1500, 1534, 1500, 1500, 1500, 1500]"
1653900471698783356,"[1500, 1500, 1500, 1524, 1500, 1500, 1500, 1500]"
1653900471709419277,"[1500, 1500, 1500, 1512, 1500, 1500, 1500, 1500]"
1653900471719281184,"[1500, 1500, 1500, 1508, 1500, 1500, 1500, 1500]"
1653900471728983638,"[1500, 1500, 1500, 1504, 1500, 1500, 1500, 1500]"
